Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-07-23,Special Ops- S02,,,3.5,,,2025-07-23
2026-05-21,The Boys: The Finale,2026,,4.5,,2160p,2026-05-21
