Date,Name,Year,Letterboxd URI
2025-04-29,Airplane!,1980,https://boxd.it/29yu
2025-05-01,Lion,2016,https://boxd.it/b2La
2025-05-06,The Seventh Seal,1957,https://boxd.it/2ahO
2025-05-06,Persona,1966,https://boxd.it/29B4
2025-05-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-05-09,Vortex,2021,https://boxd.it/uoni
2025-05-13,Band of Brothers,2001,https://boxd.it/aRNY
2025-05-14,Rear Window,1954,https://boxd.it/2a6Q
2025-05-14,American History X,1998,https://boxd.it/2bdo
2025-05-14,Step Brothers,2008,https://boxd.it/1SsE
2025-05-14,Ted,2012,https://boxd.it/2pgc
2025-05-19,Once Upon a Time in the West,1968,https://boxd.it/2az4
2025-05-19,Modern Times,1936,https://boxd.it/25MC
2025-05-19,Alien,1979,https://boxd.it/2awY
2025-05-19,The Great Dictator,1940,https://boxd.it/29ic
2025-05-19,Children of Heaven,1997,https://boxd.it/1C5k
2025-05-19,Twelve Monkeys,1995,https://boxd.it/2beQ
2025-05-19,Dog Day Afternoon,1975,https://boxd.it/29bg
2025-05-19,Battle Royale,2000,https://boxd.it/25zS
2025-05-20,Days of Heaven,1978,https://boxd.it/1JRg
2025-05-23,Churuli,2021,https://boxd.it/r2Ae
2025-05-24,Revolutionary Road,2008,https://boxd.it/24Le
2025-05-24,Virumaandi,2004,https://boxd.it/8tk
2025-05-24,The Corpse of Anna Fritz,2015,https://boxd.it/avNi
2025-05-25,The Game,1997,https://boxd.it/26vC
2025-05-29,Lucia,2013,https://boxd.it/6vPU
2025-05-29,All Quiet on the Western Front,1930,https://boxd.it/2b2g
2025-06-06,Lost in Translation,2003,https://boxd.it/2b0E
2025-06-10,Perfect Days,2023,https://boxd.it/ATh8
2025-06-11,The Others,2001,https://boxd.it/27Po
2025-06-11,The Great Gatsby,2013,https://boxd.it/JY
2025-06-18,Joyland,2022,https://boxd.it/AlzM
2025-06-18,Mukti Bhawan,2016,https://boxd.it/eAFQ
2025-06-21,Wild at Heart,1990,https://boxd.it/2aii
2025-06-24,The Music Room,1958,https://boxd.it/29x2
2025-06-27,Punch-Drunk Love,2002,https://boxd.it/20E4
2025-06-27,The Favourite,2018,https://boxd.it/d2hI
2025-06-27,Roma,2018,https://boxd.it/f69M
2025-06-27,The Master,2012,https://boxd.it/2cBG
2025-06-27,Brokeback Mountain,2005,https://boxd.it/2b2q
2025-07-14,Akira,1988,https://boxd.it/2b1i
2025-07-19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-07-29,Pride & Prejudice,2005,https://boxd.it/24u8
2025-08-11,Once Upon a Time in America,1984,https://boxd.it/2aCs
2025-09-19,Blockers,2018,https://boxd.it/fxEW
2025-10-03,The Big City,1963,https://boxd.it/fI2
2025-10-03,Days and Nights in the Forest,1970,https://boxd.it/1bM2
2025-10-05,Okja,2017,https://boxd.it/dvXe
2026-01-13,Nomadland,2020,https://boxd.it/lnRy
2026-02-01,Pushpaka Vimana,1987,https://boxd.it/19M0
2026-02-01,Saat Uchakkey,2016,https://boxd.it/eU2O
2026-02-04,The Fall,2006,https://boxd.it/1NoM
2026-02-09,Taste of Cherry,1997,https://boxd.it/1m8W
2026-02-09,Amores Perros,2000,https://boxd.it/2bfu
2026-02-09,Being John Malkovich,1999,https://boxd.it/2ahu
2026-02-09,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2026-02-09,Berserk,1997,https://boxd.it/pzgM
2026-02-09,BLUE EYE SAMURAI,2023,https://boxd.it/JH9k
2026-02-09,Vinland Saga,2019,https://boxd.it/qdwU
2026-02-09,Santosh,2024,https://boxd.it/KRli
2026-02-15,Bangalore Days,2014,https://boxd.it/82ZA
2026-02-15,Premam,2015,https://boxd.it/bod0
2026-02-18,Bugonia,2025,https://boxd.it/qeWY
2026-02-18,Run Lola Run,1998,https://boxd.it/2b8o
2026-02-18,A Cure for Wellness,2016,https://boxd.it/bkQW
2026-02-20,The Town,2010,https://boxd.it/1zyS
2026-02-20,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2026-02-20,Midnight in Paris,2011,https://boxd.it/i4a
2026-02-23,The Piano Teacher,2001,https://boxd.it/2886
2026-02-26,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2026-02-26,Me Before You,2016,https://boxd.it/9n98
2026-03-03,Argo,2012,https://boxd.it/2czU
2026-03-04,Scream,1996,https://boxd.it/24EC
2026-03-04,Cure,1997,https://boxd.it/1blA
2026-03-12,Boogie Nights,1997,https://boxd.it/23um
2026-03-16,Stoker,2013,https://boxd.it/34S2
2026-03-16,Thirst,2009,https://boxd.it/1Aqq
2026-03-30,A Death in the Gunj,2016,https://boxd.it/enKe
2026-04-04,Munich,2005,https://boxd.it/2a0e
2026-04-06,The Interview,2014,https://boxd.it/6KQ4
2026-04-06,Mamma Mia!,2008,https://boxd.it/1Tnq
2026-04-08,High and Low,1963,https://boxd.it/1RSc
2026-04-08,Gone with the Wind,1939,https://boxd.it/29Fq
2026-04-08,Close-Up,1990,https://boxd.it/1m9q
2026-04-09,Titane,2021,https://boxd.it/nlQC
2026-04-13,Asteroid City,2023,https://boxd.it/s3ds
2026-04-14,Court,2014,https://boxd.it/96Fm
2026-04-14,The Stranger,1991,https://boxd.it/YxS
2026-04-14,Beautiful Boy,2018,https://boxd.it/g76Q
2026-04-14,The Big Short,2015,https://boxd.it/ajZw
2026-04-14,Easy A,2010,https://boxd.it/17DK
2026-04-15,Love per Square Foot,2018,https://boxd.it/ifTA
2026-04-16,Yaadein,1964,https://boxd.it/3QaM
2026-04-20,A Snake of June,2002,https://boxd.it/1fuQ
2026-04-20,Three Colours: Blue,1993,https://boxd.it/2b7K
2026-04-20,Three Colours: White,1994,https://boxd.it/2b7A
2026-04-20,Three Colours: Red,1994,https://boxd.it/2b7q
2026-04-23,Notting Hill,1999,https://boxd.it/2aeK
2026-04-25,Titli,2014,https://boxd.it/7WnK
2026-05-03,Body Double,1984,https://boxd.it/1TGW
2026-05-05,Downfall,2004,https://boxd.it/2a04
2026-05-05,Raajneeti,2010,https://boxd.it/177u
2026-05-05,Aakrosh,2010,https://boxd.it/v6y
2026-05-13,The Kite Runner,2007,https://boxd.it/20IK
2026-05-17,Solaris,1972,https://boxd.it/2a2Y
2026-05-17,Princess Mononoke,1997,https://boxd.it/2b4w
2026-05-21,White Chicks,2004,https://boxd.it/1SpK
2026-05-21,Grown Ups,2010,https://boxd.it/169a
