Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-08,Grotesque,2009,https://boxd.it/93hL19,1.5,,Same review as August underground...,,2025-03-08
2025-03-09,Flow,2024,https://boxd.it/93UfQx,3.5,,Yeah....it was good.,,2025-03-08
2025-03-10,Kill Bill: Vol. 1,2003,https://boxd.it/94V5Gj,5,Yes,Re-watch in theater was a great idea..🔥🔥,,2025-03-10
2025-03-11,The Notebook,2004,https://boxd.it/95zhEz,4,,"Allie: I have never seen anything so beautiful.
Noah: neither have I",,2025-03-11
2025-03-14,Vaazha,2024,https://boxd.it/97c3sh,3.5,,It's just wow.,,2025-03-14
2025-03-15,About Time,2013,https://boxd.it/97FYtp,5,,"I got to tell you, It was perfect. Down to the last minute details.",,2025-03-15
2025-03-16,White Nights,1960,https://boxd.it/989JlZ,5,,"""Russian La La Land"" ahh movie.",,2025-03-15
2025-03-16,Luck by Chance,2009,https://boxd.it/98l5pB,4,,"Amir khan, Rajkumar hirani, Saurabh sukla, Mac mohan, Manish Malhotra, Anurag kashyap, Akshay Khanna, Javed Akhtar, Shabana Azmi, Rani Mukherjee, Dia mirza, Abhishek Bachchan, John Abraham, Ranbir Kapoor, Vivek Oberoi, Boman Irani, Kareena Kapoor, Karan Johar, Ronit roy And
Shahrukh Khan.",,2025-03-16
2025-03-18,Shaurya,2008,https://boxd.it/99Opxn,3.5,,"Makers thought they r portraying kay Kay menon as villain, but this all backfired.",,2025-03-18
2025-03-19,Reva,2018,https://boxd.it/9aeCBf,5,,"ભારતવર્ષ ના ઉત્તર અને દક્ષિણ ભાગ ને,
સાંધતી-બાંધતી, ઉભયાન્વી,
ભુવનમોહિની મહાનદી 
<b>નર્મદાને...
</b>(તત્વમસિ)",,2025-03-18
2025-03-21,Late Night with the Devil,2023,https://boxd.it/9bk7Qz,2.5,,Maa ka bharosa...,,2025-03-21
2025-03-22,Adolescence,2025,https://boxd.it/9bFyxB,4,,One take shots has always been my favourite genre.,,2025-03-21
2025-03-23,Mr. & Mrs. '55,1955,https://boxd.it/9cptrZ,4,,I think I m in love with Madhubala and Vinita bhatt.,,2025-03-23
2025-03-25,Little Women,2019,https://boxd.it/9dMjNr,4,,"Yeah, it was good..👍🏻👍🏻",,2025-03-24
2025-03-30,In the Realm of the Senses,1976,https://boxd.it/9gqI4p,3.5,,Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex Sex,,2025-03-30
2025-04-01,Enemy,2013,https://boxd.it/9hLodn,4.5,,Jake Gyllenhaal in mirror...🔥🔥🔥🔥,,2025-04-01
2025-04-06,Rashomon,1950,https://boxd.it/9kbY3X,4.5,,Background score was dope...,,2025-04-05
2025-04-06,Singin' in the Rain,1952,https://boxd.it/9kNz2r,5,,"Cinema talking about Cinema. 
I m in...",,2025-04-06
2025-04-13,Hugo,2011,https://boxd.it/9o8qOb,5,,Another Cinema talking about Cinema...,,2025-04-12
2025-04-13,Basic Instinct,1992,https://boxd.it/9oiumZ,4,,"Yeah, I watched it for plot",,2025-04-13
2025-04-13,Thiruchitrambalam,2022,https://boxd.it/9oFxLf,4,,"That's right
What a waste of a lovely night.",,2025-04-13
2025-04-14,Deep Water,2022,https://boxd.it/9oP09n,2.5,,"Yeah, I mean c'mon even I wouldn't give divorce, if my wife is Ana de armas...",,2025-04-13
2025-04-15,I Am Legend,2007,https://boxd.it/9psS3r,3.5,,Ahhh...Emotions,,2025-04-14
2025-04-18,The Dreamers,2003,https://boxd.it/9r6c3N,3.5,,"French Cinema, Sex and Politics",,2025-04-18
2025-04-20,WR: Mysteries of the Organism,1971,https://boxd.it/9spsS5,1,,What the fuck is going on here,,2025-04-20
2025-04-20,Blue Is the Warmest Color,2013,https://boxd.it/9stZdH,2.5,,Directed by a straight man for straight man,,2025-04-20
2025-04-20,Dragon,2025,https://boxd.it/9sVYCx,3.5,,First half is so fucking long and stretchy,,2025-04-20
2025-04-21,Superboys of Malegaon,2024,https://boxd.it/9t7T4T,4.5,,🙏😭💫,,2025-04-20
