Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-05-27,The Fall Guy,2024,https://boxd.it/6yD7mZ,3.5,,,2024-05-27
2024-05-30,Maidaan,2024,https://boxd.it/6zQqqV,4,,,2024-05-30
2024-05-31,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6Afi4R,4,,,2024-05-31
2024-06-01,Furiosa: A Mad Max Saga,2024,https://boxd.it/6AAOkT,4,,,2024-06-01
2024-06-04,Godzilla Minus One,2023,https://boxd.it/6BJ2iH,4,,,2024-06-04
2024-06-10,Laila Majnu,2018,https://boxd.it/6En8yT,3.5,,,2024-06-10
2024-06-12,Karwaan,2018,https://boxd.it/6EMJAn,4.5,,,2024-06-11
2024-06-13,Uncut Gems,2019,https://boxd.it/6FvCbb,3,,,2024-06-13
2024-06-13,BEEF,2023,https://boxd.it/6FvCZb,4,,,2024-06-13
2024-06-16,Tere Naam,2003,https://boxd.it/6GeJgn,3.5,,,2024-06-15
2024-06-19,Memories of Murder,2003,https://boxd.it/6HuE8J,5,,,2024-06-18
2024-06-23,GoodFellas,1990,https://boxd.it/6J5qpT,4.5,,,2024-06-23
2024-06-24,Eyes Wide Shut,1999,https://boxd.it/6Ju8yj,3.5,,,2024-06-23
2024-06-27,Your Name.,2016,https://boxd.it/6KJekV,4,,,2024-06-26
2024-06-30,Irreversible,2002,https://boxd.it/6LOy7r,3,,,2024-06-29
2024-07-01,Kalki 2898-AD,2024,https://boxd.it/6MhaL1,3.5,,,2024-06-30
2024-07-04,Reservoir Dogs,1992,https://boxd.it/6NvyL7,4,,,2024-07-03
2024-07-09,Kill,2023,https://boxd.it/6Q47uB,4.5,,,2024-07-09
2024-07-10,Prisoners,2013,https://boxd.it/6QxVqd,5,,,2024-07-10
2024-07-13,Maharaja,2024,https://boxd.it/6Rp4Q1,5,,,2024-07-12
2024-07-13,12 Angry Men,1957,https://boxd.it/6RMfGx,5,,,2024-07-13
2024-07-17,EuroTrip,2004,https://boxd.it/6THLBH,3.5,,,2024-07-17
2024-07-22,Gladiator,2000,https://boxd.it/6VYEah,4,,,2024-07-22
2024-07-26,The Goat Life,2024,https://boxd.it/6Xn8wJ,5,,,2024-07-25
2024-07-26,Not Another Teen Movie,2001,https://boxd.it/6XK5Jh,2.5,,,2024-07-26
2024-07-28,Deadpool & Wolverine,2024,https://boxd.it/6YpE7z,4,,,2024-07-28
2024-07-29,Cinema Paradiso,1988,https://boxd.it/6YR9Md,5,,,2024-07-29
