Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-06-04,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/9TSaw7,3.5,,,2025-06-04
2025-06-22,Deewaar,1975,https://boxd.it/a4Fajb,5,,,2025-06-21
2025-07-25,Kahaani,2012,https://boxd.it/asAYLl,4,,,2025-07-25
2025-07-28,Manorama Six Feet Under,2007,https://boxd.it/ava6bt,3.5,,,2025-07-27
2025-12-23,Awarapan,2007,https://boxd.it/caYJuL,3.5,,,2025-12-23
2026-01-05,No Other Choice,2025,https://boxd.it/crl6lP,4.5,,,2026-01-04
2026-01-22,120 Bahadur,2025,https://boxd.it/cKTQKl,3.5,,,2026-01-21
2026-01-22,120 Bahadur,2025,https://boxd.it/cKTXzp,3.5,Yes,,2026-01-21
2026-02-22,Sentimental Value,2025,https://boxd.it/deZPL5,4.5,Yes,,2026-02-22
